actual_log,predicted_log,actual_seconds,predicted_seconds,actual_minutes,predicted_minutes,error_minutes,abs_pct_error
7.3451,6.805,1548.5,902.3,25.81,15.04,-10.77,41.73
5.86,6.2404,350.7,513.1,5.85,8.55,2.71,46.29
6.704,6.7771,815.7,877.5,13.59,14.62,1.03,7.58
7.2988,7.3671,1478.5,1583,24.64,26.38,1.74,7.07
6.0573,6.2834,427.2,535.6,7.12,8.93,1.81,25.38
6.8439,6.6147,938.1,746,15.64,12.43,-3.2,20.49
7.0519,6.6696,1155.1,788.1,19.25,13.13,-6.12,31.78
6.805,6.9732,902.4,1067.7,15.04,17.79,2.76,18.32
5.5772,6.1068,264.3,448.9,4.41,7.48,3.08,69.83
6.5917,6.6912,729,805.3,12.15,13.42,1.27,10.46
6.3715,6.6041,584.9,738.1,9.75,12.3,2.55,26.19
6.5737,6.6534,716,775.5,11.93,12.92,0.99,8.31
7.0577,6.3196,1161.7,555.3,19.36,9.26,-10.11,52.2
4.7624,5.6006,117,270.6,1.95,4.51,2.56,131.21
6.0342,6.1911,417.5,488.4,6.96,8.14,1.18,16.98
5.1526,5.5358,172.9,253.6,2.88,4.23,1.35,46.7
6.59,6.498,727.7,663.8,12.13,11.06,-1.07,8.78
6.5662,6.5929,710.7,729.9,11.84,12.16,0.32,2.7
6.5461,6.7507,696.6,854.7,11.61,14.24,2.64,22.7
6.3081,6.0453,549,422.1,9.15,7.04,-2.12,23.11
6.1649,5.9252,475.8,374.4,7.93,6.24,-1.69,21.31
6.2109,6.5504,498.2,699.5,8.3,11.66,3.36,40.42
7.064,7.0112,1169.1,1109,19.48,18.48,-1,5.14
7.8866,7.8828,2661.4,2651.4,44.36,44.19,-0.17,0.38
5.8945,5.9592,363,387.3,6.05,6.46,0.4,6.69
5.58,5.6319,265.1,279.2,4.42,4.65,0.24,5.32
6.2175,6.4234,501.4,616.1,8.36,10.27,1.91,22.87
5.1209,5.3419,167.5,208.9,2.79,3.48,0.69,24.73
5.3977,5.5603,220.9,259.9,3.68,4.33,0.65,17.66
6.5848,6.4926,724,660.2,12.07,11,-1.06,8.81
6.2008,6.211,493.1,498.2,8.22,8.3,0.08,1.03
6.0664,6.1238,431.1,456.6,7.19,7.61,0.42,5.91
6.2217,5.6638,503.6,288.2,8.39,4.8,-3.59,42.76
6.6826,6.6213,798.4,750.9,13.31,12.52,-0.79,5.95
5.6735,5.9686,291,391,4.85,6.52,1.67,34.33
5.3715,5.7239,215.2,306.1,3.59,5.1,1.51,42.24
7.0493,7.1781,1152.1,1310.4,19.2,21.84,2.64,13.75
6.4373,5.9887,624.7,398.9,10.41,6.65,-3.76,36.15
6.0097,6.0454,407.4,422.2,6.79,7.04,0.25,3.63
5.9157,6.3453,370.8,569.8,6.18,9.5,3.32,53.67
