datetime,location,lat,lon,temperature_2m,apparent_temp,precipitation_mm,windspeed,snowfall,snow_depth,is_rainy,precip_last_3h,mins_since_rain
2025-05-01T00:00:00,harlem,40.8116,-73.9465,15.4,12.6,0.0,7.0,0.0,0.0,False,0.0,5940
2025-05-01T01:00:00,harlem,40.8116,-73.9465,14.2,11.6,0.0,6.5,0.0,0.0,False,0.0,6000
2025-05-01T02:00:00,harlem,40.8116,-73.9465,13.1,10.3,0.0,7.8,0.0,0.0,False,0.0,6060
2025-05-01T03:00:00,harlem,40.8116,-73.9465,12.1,9.1,0.0,8.0,0.0,0.0,False,0.0,6120
2025-05-01T04:00:00,harlem,40.8116,-73.9465,11.6,8.9,0.0,5.8,0.0,0.0,False,0.0,6180
2025-05-01T05:00:00,harlem,40.8116,-73.9465,10.6,7.7,0.0,6.1,0.0,0.0,False,0.0,6240
2025-05-01T06:00:00,harlem,40.8116,-73.9465,9.9,7.1,0.0,6.1,0.0,0.0,False,0.0,6300
2025-05-01T07:00:00,harlem,40.8116,-73.9465,10.2,7.4,0.0,6.6,0.0,0.0,False,0.0,6360
2025-05-01T08:00:00,harlem,40.8116,-73.9465,11.8,9.0,0.0,5.7,0.0,0.0,False,0.0,6420
2025-05-01T09:00:00,harlem,40.8116,-73.9465,14.9,12.2,0.0,5.9,0.0,0.0,False,0.0,6480
2025-05-01T10:00:00,harlem,40.8116,-73.9465,17.2,15.0,0.0,5.6,0.0,0.0,False,0.0,6540
2025-05-01T11:00:00,harlem,40.8116,-73.9465,19.5,18.0,0.0,6.2,0.0,0.0,False,0.0,6600
2025-05-01T12:00:00,harlem,40.8116,-73.9465,21.0,19.6,0.0,8.4,0.0,0.0,False,0.0,6660
2025-05-01T13:00:00,harlem,40.8116,-73.9465,21.7,20.0,0.0,10.7,0.0,0.0,False,0.0,6720
2025-05-01T14:00:00,harlem,40.8116,-73.9465,21.7,19.4,0.0,12.0,0.0,0.0,False,0.0,6780
2025-05-01T15:00:00,harlem,40.8116,-73.9465,21.1,17.9,0.0,12.8,0.0,0.0,False,0.0,6840
2025-05-01T16:00:00,harlem,40.8116,-73.9465,20.3,16.9,0.0,13.8,0.0,0.0,False,0.0,6900
2025-05-01T17:00:00,harlem,40.8116,-73.9465,19.6,15.6,0.0,13.3,0.0,0.0,False,0.0,6960
2025-05-01T18:00:00,harlem,40.8116,-73.9465,18.5,14.8,0.0,12.2,0.0,0.0,False,0.0,7020
2025-05-01T19:00:00,harlem,40.8116,-73.9465,17.0,13.9,0.0,10.4,0.0,0.0,False,0.0,7080
2025-05-01T20:00:00,harlem,40.8116,-73.9465,15.7,13.0,0.0,8.4,0.0,0.0,False,0.0,7140
2025-05-01T21:00:00,harlem,40.8116,-73.9465,14.9,12.5,0.0,7.7,0.0,0.0,False,0.0,7200
2025-05-01T22:00:00,harlem,40.8116,-73.9465,14.6,12.3,0.3,8.5,0.0,0.0,True,0.0,0
2025-05-01T23:00:00,harlem,40.8116,-73.9465,14.3,12.0,0.0,9.9,0.0,0.0,False,0.3,60
2025-05-02T00:00:00,harlem,40.8116,-73.9465,14.6,12.8,0.0,7.4,0.0,0.0,False,0.3,120
2025-05-02T01:00:00,harlem,40.8116,-73.9465,15.1,13.3,0.0,13.1,0.0,0.0,False,0.3,180
2025-05-02T02:00:00,harlem,40.8116,-73.9465,15.6,14.7,0.0,11.0,0.0,0.0,False,0.0,240
2025-05-02T03:00:00,harlem,40.8116,-73.9465,14.8,14.3,0.2,9.8,0.0,0.0,True,0.0,0
2025-05-02T04:00:00,harlem,40.8116,-73.9465,14.3,14.3,0.0,6.8,0.0,0.0,False,0.2,60
2025-05-02T05:00:00,harlem,40.8116,-73.9465,13.9,14.1,0.0,5.9,0.0,0.0,False,0.2,120
2025-05-02T06:00:00,harlem,40.8116,-73.9465,13.9,14.0,0.0,5.4,0.0,0.0,False,0.2,180
2025-05-02T07:00:00,harlem,40.8116,-73.9465,15.4,15.7,0.0,5.2,0.0,0.0,False,0.0,240
2025-05-02T08:00:00,harlem,40.8116,-73.9465,18.5,19.2,0.0,4.4,0.0,0.0,False,0.0,300
2025-05-02T09:00:00,harlem,40.8116,-73.9465,19.1,19.5,0.0,4.6,0.0,0.0,False,0.0,360
2025-05-02T10:00:00,harlem,40.8116,-73.9465,20.0,20.4,0.0,5.3,0.0,0.0,False,0.0,420
2025-05-02T11:00:00,harlem,40.8116,-73.9465,21.7,22.2,0.0,6.3,0.0,0.0,False,0.0,480
2025-05-02T12:00:00,harlem,40.8116,-73.9465,25.4,26.2,0.0,9.0,0.0,0.0,False,0.0,540
2025-05-02T13:00:00,harlem,40.8116,-73.9465,27.7,28.7,0.0,12.8,0.0,0.0,False,0.0,600
2025-05-02T14:00:00,harlem,40.8116,-73.9465,29.2,29.8,0.0,13.3,0.0,0.0,False,0.0,660
2025-05-02T15:00:00,harlem,40.8116,-73.9465,28.1,28.2,0.0,13.5,0.0,0.0,False,0.0,720
2025-05-02T16:00:00,harlem,40.8116,-73.9465,28.0,28.2,0.0,11.3,0.0,0.0,False,0.0,780
2025-05-02T17:00:00,harlem,40.8116,-73.9465,26.1,25.2,0.1,16.4,0.0,0.0,False,0.0,840
2025-05-02T18:00:00,harlem,40.8116,-73.9465,27.5,26.7,0.0,14.7,0.0,0.0,False,0.1,900
2025-05-02T19:00:00,harlem,40.8116,-73.9465,25.8,25.3,0.0,15.4,0.0,0.0,False,0.1,960
2025-05-02T20:00:00,harlem,40.8116,-73.9465,23.1,22.8,0.0,14.4,0.0,0.0,False,0.1,1020
2025-05-02T21:00:00,harlem,40.8116,-73.9465,23.0,23.3,0.0,10.5,0.0,0.0,False,0.0,1080
2025-05-02T22:00:00,harlem,40.8116,-73.9465,23.2,23.7,0.0,9.6,0.0,0.0,False,0.0,1140
2025-05-02T23:00:00,harlem,40.8116,-73.9465,23.5,23.8,0.0,10.2,0.0,0.0,False,0.0,1200
2025-05-03T00:00:00,harlem,40.8116,-73.9465,23.4,23.3,0.0,9.7,0.0,0.0,False,0.0,1260
2025-05-03T01:00:00,harlem,40.8116,-73.9465,22.9,22.8,0.0,7.2,0.0,0.0,False,0.0,1320
2025-05-03T02:00:00,harlem,40.8116,-73.9465,22.2,22.0,0.0,8.6,0.0,0.0,False,0.0,1380
2025-05-03T03:00:00,harlem,40.8116,-73.9465,21.2,21.0,0.1,8.1,0.0,0.0,False,0.0,1440
2025-05-03T04:00:00,harlem,40.8116,-73.9465,19.5,20.5,0.0,0.4,0.0,0.0,False,0.1,1500
2025-05-03T05:00:00,harlem,40.8116,-73.9465,19.1,19.3,0.0,6.6,0.0,0.0,False,0.1,1560
2025-05-03T06:00:00,harlem,40.8116,-73.9465,18.2,18.5,0.0,6.9,0.0,0.0,False,0.1,1620
2025-05-03T07:00:00,harlem,40.8116,-73.9465,18.5,19.0,0.0,7.3,0.0,0.0,False,0.0,1680
2025-05-03T08:00:00,harlem,40.8116,-73.9465,20.6,21.5,0.0,6.1,0.0,0.0,False,0.0,1740
2025-05-03T09:00:00,harlem,40.8116,-73.9465,22.0,22.0,0.0,10.8,0.0,0.0,False,0.0,1800
2025-05-03T10:00:00,harlem,40.8116,-73.9465,24.2,24.7,0.0,8.5,0.0,0.0,False,0.0,1860
2025-05-03T11:00:00,harlem,40.8116,-73.9465,26.0,27.1,0.0,10.8,0.0,0.0,False,0.0,1920
2025-05-03T12:00:00,harlem,40.8116,-73.9465,26.6,27.9,0.0,13.6,0.0,0.0,False,0.0,1980
2025-05-03T13:00:00,harlem,40.8116,-73.9465,27.4,28.8,0.0,14.2,0.0,0.0,False,0.0,2040
2025-05-03T14:00:00,harlem,40.8116,-73.9465,27.1,28.4,0.0,12.2,0.0,0.0,False,0.0,2100
2025-05-03T15:00:00,harlem,40.8116,-73.9465,23.8,26.5,11.2,6.0,0.0,0.0,True,0.0,0
2025-05-03T16:00:00,harlem,40.8116,-73.9465,24.7,27.5,0.0,2.9,0.0,0.0,False,11.2,60
2025-05-03T17:00:00,harlem,40.8116,-73.9465,23.9,24.7,2.1,14.1,0.0,0.0,True,11.2,0
