datetime,location,lat,lon,temperature_2m,apparent_temp,precipitation_mm,windspeed,snowfall,snow_depth,is_rainy,precip_last_3h,mins_since_rain
2025-07-01T00:00:00,midtown,40.7549,-73.984,25.4,29.7,0.0,6.8,0.0,0.0,False,0.0,300
2025-07-01T01:00:00,midtown,40.7549,-73.984,25.0,30.0,0.1,3.1,0.0,0.0,False,0.0,360
2025-07-01T02:00:00,midtown,40.7549,-73.984,24.3,28.8,4.2,4.8,0.0,0.0,True,0.1,0
2025-07-01T03:00:00,midtown,40.7549,-73.984,24.1,28.8,0.1,4.7,0.0,0.0,False,4.3,60
2025-07-01T04:00:00,midtown,40.7549,-73.984,24.2,28.7,0.1,7.6,0.0,0.0,False,4.4,120
2025-07-01T05:00:00,midtown,40.7549,-73.984,24.5,29.3,0.0,7.8,0.0,0.0,False,4.4,180
2025-07-01T06:00:00,midtown,40.7549,-73.984,25.1,29.6,0.0,10.3,0.0,0.0,False,0.2,240
2025-07-01T07:00:00,midtown,40.7549,-73.984,25.5,29.8,0.0,11.2,0.0,0.0,False,0.1,300
2025-07-01T08:00:00,midtown,40.7549,-73.984,27.0,30.3,0.0,17.7,0.0,0.0,False,0.0,360
2025-07-01T09:00:00,midtown,40.7549,-73.984,28.1,31.4,0.0,14.2,0.0,0.0,False,0.0,420
2025-07-01T10:00:00,midtown,40.7549,-73.984,29.9,33.3,0.0,11.5,0.0,0.0,False,0.0,480
2025-07-01T11:00:00,midtown,40.7549,-73.984,31.9,35.8,0.1,11.9,0.0,0.0,False,0.0,540
2025-07-01T12:00:00,midtown,40.7549,-73.984,32.8,36.2,0.1,13.5,0.0,0.0,False,0.1,600
2025-07-01T13:00:00,midtown,40.7549,-73.984,30.2,33.0,0.6,14.7,0.0,0.0,True,0.2,0
2025-07-01T14:00:00,midtown,40.7549,-73.984,29.4,32.5,0.0,13.1,0.0,0.0,False,0.8,60
2025-07-01T15:00:00,midtown,40.7549,-73.984,29.1,32.7,0.4,12.1,0.0,0.0,True,0.7,0
2025-07-01T16:00:00,midtown,40.7549,-73.984,31.5,34.6,0.0,14.4,0.0,0.0,False,1.0,60
2025-07-01T17:00:00,midtown,40.7549,-73.984,29.7,32.3,0.4,14.2,0.0,0.0,True,0.4,0
2025-07-01T18:00:00,midtown,40.7549,-73.984,28.5,31.7,0.1,14.2,0.0,0.0,False,0.8,60
2025-07-01T19:00:00,midtown,40.7549,-73.984,27.4,31.0,0.0,11.4,0.0,0.0,False,0.5,120
2025-07-01T20:00:00,midtown,40.7549,-73.984,26.9,30.8,0.1,10.0,0.0,0.0,False,0.5,180
2025-07-01T21:00:00,midtown,40.7549,-73.984,24.8,29.4,1.2,3.9,0.0,0.0,True,0.2,0
2025-07-01T22:00:00,midtown,40.7549,-73.984,24.5,29.0,0.4,4.4,0.0,0.0,True,1.3,0
2025-07-01T23:00:00,midtown,40.7549,-73.984,24.0,28.2,0.3,6.0,0.0,0.0,True,1.7,0
2025-07-02T00:00:00,midtown,40.7549,-73.984,23.6,27.7,0.5,6.7,0.0,0.0,True,1.9,0
2025-07-02T01:00:00,midtown,40.7549,-73.984,23.2,27.2,0.7,7.5,0.0,0.0,True,1.2,0
2025-07-02T02:00:00,midtown,40.7549,-73.984,22.9,27.0,0.6,7.2,0.0,0.0,True,1.5,0
2025-07-02T03:00:00,midtown,40.7549,-73.984,22.8,26.8,0.2,6.7,0.0,0.0,True,1.8,0
2025-07-02T04:00:00,midtown,40.7549,-73.984,22.9,26.8,0.0,5.8,0.0,0.0,False,1.5,60
2025-07-02T05:00:00,midtown,40.7549,-73.984,22.9,26.8,0.0,5.2,0.0,0.0,False,0.8,120
2025-07-02T06:00:00,midtown,40.7549,-73.984,22.8,26.7,0.0,6.0,0.0,0.0,False,0.2,180
2025-07-02T07:00:00,midtown,40.7549,-73.984,23.0,27.0,0.0,5.0,0.0,0.0,False,0.0,240
2025-07-02T08:00:00,midtown,40.7549,-73.984,23.3,27.5,0.0,4.4,0.0,0.0,False,0.0,300
2025-07-02T09:00:00,midtown,40.7549,-73.984,24.0,27.9,0.2,7.1,0.0,0.0,True,0.0,0
2025-07-02T10:00:00,midtown,40.7549,-73.984,24.8,28.9,0.1,5.5,0.0,0.0,False,0.2,60
2025-07-02T11:00:00,midtown,40.7549,-73.984,26.2,30.5,0.0,4.4,0.0,0.0,False,0.3,120
2025-07-02T12:00:00,midtown,40.7549,-73.984,26.6,30.8,0.0,4.6,0.0,0.0,False,0.3,180
2025-07-02T13:00:00,midtown,40.7549,-73.984,27.0,31.2,0.2,4.8,0.0,0.0,True,0.1,0
2025-07-02T14:00:00,midtown,40.7549,-73.984,27.6,31.8,0.2,4.8,0.0,0.0,True,0.2,0
2025-07-02T15:00:00,midtown,40.7549,-73.984,28.2,32.0,0.0,5.7,0.0,0.0,False,0.4,60
2025-07-02T16:00:00,midtown,40.7549,-73.984,29.1,32.3,0.0,7.0,0.0,0.0,False,0.4,120
2025-07-02T17:00:00,midtown,40.7549,-73.984,29.7,31.7,0.0,6.7,0.0,0.0,False,0.2,180
2025-07-02T18:00:00,midtown,40.7549,-73.984,29.6,31.5,0.0,6.4,0.0,0.0,False,0.0,240
2025-07-02T19:00:00,midtown,40.7549,-73.984,29.0,31.6,0.0,4.3,0.0,0.0,False,0.0,300
2025-07-02T20:00:00,midtown,40.7549,-73.984,27.8,31.8,0.0,1.9,0.0,0.0,False,0.0,360
2025-07-02T21:00:00,midtown,40.7549,-73.984,25.0,29.6,0.0,6.1,0.0,0.0,False,0.0,420
2025-07-02T22:00:00,midtown,40.7549,-73.984,24.5,29.3,0.0,6.0,0.0,0.0,False,0.0,480
2025-07-02T23:00:00,midtown,40.7549,-73.984,24.3,29.2,0.0,5.8,0.0,0.0,False,0.0,540
2025-07-03T00:00:00,midtown,40.7549,-73.984,24.2,28.6,0.0,4.4,0.0,0.0,False,0.0,600
2025-07-03T01:00:00,midtown,40.7549,-73.984,23.6,27.7,0.0,4.0,0.0,0.0,False,0.0,660
2025-07-03T02:00:00,midtown,40.7549,-73.984,22.9,26.9,0.0,2.6,0.0,0.0,False,0.0,720
2025-07-03T03:00:00,midtown,40.7549,-73.984,22.4,26.2,0.0,3.8,0.0,0.0,False,0.0,780
2025-07-03T04:00:00,midtown,40.7549,-73.984,22.1,25.6,0.0,4.0,0.0,0.0,False,0.0,840
2025-07-03T05:00:00,midtown,40.7549,-73.984,21.5,24.9,0.0,3.8,0.0,0.0,False,0.0,900
2025-07-03T06:00:00,midtown,40.7549,-73.984,21.6,25.0,0.0,3.1,0.0,0.0,False,0.0,960
2025-07-03T07:00:00,midtown,40.7549,-73.984,23.1,26.4,0.0,3.4,0.0,0.0,False,0.0,1020
2025-07-03T08:00:00,midtown,40.7549,-73.984,24.9,27.8,0.0,2.2,0.0,0.0,False,0.0,1080
2025-07-03T09:00:00,midtown,40.7549,-73.984,26.9,29.3,0.0,2.6,0.0,0.0,False,0.0,1140
2025-07-03T10:00:00,midtown,40.7549,-73.984,28.6,30.6,0.0,3.4,0.0,0.0,False,0.0,1200
2025-07-03T11:00:00,midtown,40.7549,-73.984,29.9,31.8,0.0,7.2,0.0,0.0,False,0.0,1260
2025-07-03T12:00:00,midtown,40.7549,-73.984,30.5,31.9,0.0,10.4,0.0,0.0,False,0.0,1320
2025-07-03T13:00:00,midtown,40.7549,-73.984,30.8,31.8,0.0,13.7,0.0,0.0,False,0.0,1380
2025-07-03T14:00:00,midtown,40.7549,-73.984,31.1,31.7,0.0,15.8,0.0,0.0,False,0.0,1440
2025-07-03T15:00:00,midtown,40.7549,-73.984,31.5,32.3,0.0,14.6,0.0,0.0,False,0.0,1500
2025-07-03T16:00:00,midtown,40.7549,-73.984,30.8,30.9,0.1,18.0,0.0,0.0,False,0.0,1560
2025-07-03T17:00:00,midtown,40.7549,-73.984,28.6,28.9,0.1,12.5,0.0,0.0,False,0.1,1620
2025-07-03T18:00:00,midtown,40.7549,-73.984,28.5,29.0,0.0,12.4,0.0,0.0,False,0.2,1680
2025-07-03T19:00:00,midtown,40.7549,-73.984,26.5,27.2,0.0,13.5,0.0,0.0,False,0.2,1740
2025-07-03T20:00:00,midtown,40.7549,-73.984,25.0,26.7,0.0,9.1,0.0,0.0,False,0.1,1800
2025-07-03T21:00:00,midtown,40.7549,-73.984,22.6,25.4,0.0,3.2,0.0,0.0,False,0.0,1860
2025-07-03T22:00:00,midtown,40.7549,-73.984,22.0,24.5,0.0,6.2,0.0,0.0,False,0.0,1920
2025-07-03T23:00:00,midtown,40.7549,-73.984,21.5,23.5,0.0,7.0,0.0,0.0,False,0.0,1980
2025-07-04T00:00:00,midtown,40.7549,-73.984,21.1,22.7,0.0,7.2,0.0,0.0,False,0.0,2040
2025-07-04T01:00:00,midtown,40.7549,-73.984,21.0,22.1,0.0,7.8,0.0,0.0,False,0.0,2100
2025-07-04T02:00:00,midtown,40.7549,-73.984,20.6,21.6,0.0,7.2,0.0,0.0,False,0.0,2160
2025-07-04T03:00:00,midtown,40.7549,-73.984,20.0,20.5,0.0,8.3,0.0,0.0,False,0.0,2220
2025-07-04T04:00:00,midtown,40.7549,-73.984,19.4,19.4,0.0,9.3,0.0,0.0,False,0.0,2280
2025-07-04T05:00:00,midtown,40.7549,-73.984,18.8,18.4,0.0,10.2,0.0,0.0,False,0.0,2340
2025-07-04T06:00:00,midtown,40.7549,-73.984,18.4,18.0,0.0,9.5,0.0,0.0,False,0.0,2400
2025-07-04T07:00:00,midtown,40.7549,-73.984,19.2,19.3,0.0,7.8,0.0,0.0,False,0.0,2460
2025-07-04T08:00:00,midtown,40.7549,-73.984,20.6,20.6,0.0,8.5,0.0,0.0,False,0.0,2520
2025-07-04T09:00:00,midtown,40.7549,-73.984,22.8,22.9,0.0,8.8,0.0,0.0,False,0.0,2580
2025-07-04T10:00:00,midtown,40.7549,-73.984,24.3,24.5,0.0,9.4,0.0,0.0,False,0.0,2640
2025-07-04T11:00:00,midtown,40.7549,-73.984,25.4,25.7,0.0,10.8,0.0,0.0,False,0.0,2700
2025-07-04T12:00:00,midtown,40.7549,-73.984,26.3,27.3,0.0,10.3,0.0,0.0,False,0.0,2760
2025-07-04T13:00:00,midtown,40.7549,-73.984,27.1,28.4,0.0,9.4,0.0,0.0,False,0.0,2820
2025-07-04T14:00:00,midtown,40.7549,-73.984,27.7,28.8,0.0,10.3,0.0,0.0,False,0.0,2880
2025-07-04T15:00:00,midtown,40.7549,-73.984,28.1,28.7,0.0,11.2,0.0,0.0,False,0.0,2940
2025-07-04T16:00:00,midtown,40.7549,-73.984,28.3,28.3,0.0,11.6,0.0,0.0,False,0.0,3000
2025-07-04T17:00:00,midtown,40.7549,-73.984,28.1,27.4,0.0,10.7,0.0,0.0,False,0.0,3060
2025-07-04T18:00:00,midtown,40.7549,-73.984,27.6,26.6,0.0,10.4,0.0,0.0,False,0.0,3120
2025-07-04T19:00:00,midtown,40.7549,-73.984,26.9,25.9,0.0,10.6,0.0,0.0,False,0.0,3180
2025-07-04T20:00:00,midtown,40.7549,-73.984,25.9,25.3,0.0,9.0,0.0,0.0,False,0.0,3240
2025-07-04T21:00:00,midtown,40.7549,-73.984,25.9,25.6,0.0,6.4,0.0,0.0,False,0.0,3300
2025-07-04T22:00:00,midtown,40.7549,-73.984,25.0,25.0,0.0,4.5,0.0,0.0,False,0.0,3360
2025-07-04T23:00:00,midtown,40.7549,-73.984,24.3,24.5,0.0,4.6,0.0,0.0,False,0.0,3420
2025-07-05T00:00:00,midtown,40.7549,-73.984,23.6,23.6,0.0,9.3,0.0,0.0,False,0.0,3480
2025-07-05T01:00:00,midtown,40.7549,-73.984,22.6,22.7,0.0,9.1,0.0,0.0,False,0.0,3540
2025-07-05T02:00:00,midtown,40.7549,-73.984,21.8,22.1,0.0,7.8,0.0,0.0,False,0.0,3600
2025-07-05T03:00:00,midtown,40.7549,-73.984,20.8,21.7,0.0,4.9,0.0,0.0,False,0.0,3660
2025-07-05T04:00:00,midtown,40.7549,-73.984,19.9,20.9,0.0,4.2,0.0,0.0,False,0.0,3720
2025-07-05T05:00:00,midtown,40.7549,-73.984,19.2,20.4,0.0,4.0,0.0,0.0,False,0.0,3780
2025-07-05T06:00:00,midtown,40.7549,-73.984,19.1,20.5,0.0,3.6,0.0,0.0,False,0.0,3840
2025-07-05T07:00:00,midtown,40.7549,-73.984,20.6,21.8,0.0,4.5,0.0,0.0,False,0.0,3900
2025-07-05T08:00:00,midtown,40.7549,-73.984,22.5,23.4,0.0,3.2,0.0,0.0,False,0.0,3960
2025-07-05T09:00:00,midtown,40.7549,-73.984,24.0,24.7,0.0,3.4,0.0,0.0,False,0.0,4020
2025-07-05T10:00:00,midtown,40.7549,-73.984,26.6,27.4,0.0,0.8,0.0,0.0,False,0.0,4080
2025-07-05T11:00:00,midtown,40.7549,-73.984,28.5,29.4,0.0,3.6,0.0,0.0,False,0.0,4140
2025-07-05T12:00:00,midtown,40.7549,-73.984,30.0,31.2,0.0,6.2,0.0,0.0,False,0.0,4200
2025-07-05T13:00:00,midtown,40.7549,-73.984,31.0,32.2,0.0,8.4,0.0,0.0,False,0.0,4260
2025-07-05T14:00:00,midtown,40.7549,-73.984,31.9,32.9,0.0,9.6,0.0,0.0,False,0.0,4320
2025-07-05T15:00:00,midtown,40.7549,-73.984,32.4,33.0,0.0,11.2,0.0,0.0,False,0.0,4380
2025-07-05T16:00:00,midtown,40.7549,-73.984,32.2,32.4,0.0,10.6,0.0,0.0,False,0.0,4440
2025-07-05T17:00:00,midtown,40.7549,-73.984,31.1,30.6,0.0,12.7,0.0,0.0,False,0.0,4500
2025-07-05T18:00:00,midtown,40.7549,-73.984,29.5,28.4,0.0,15.0,0.0,0.0,False,0.0,4560
2025-07-05T19:00:00,midtown,40.7549,-73.984,28.1,27.3,0.0,13.7,0.0,0.0,False,0.0,4620
2025-07-05T20:00:00,midtown,40.7549,-73.984,26.9,27.0,0.0,9.7,0.0,0.0,False,0.0,4680
2025-07-05T21:00:00,midtown,40.7549,-73.984,25.9,27.6,0.0,6.8,0.0,0.0,False,0.0,4740
2025-07-05T22:00:00,midtown,40.7549,-73.984,26.2,28.2,0.0,5.4,0.0,0.0,False,0.0,4800
2025-07-05T23:00:00,midtown,40.7549,-73.984,26.5,27.1,0.0,8.7,0.0,0.0,False,0.0,4860
2025-07-06T00:00:00,midtown,40.7549,-73.984,25.6,25.8,0.0,10.3,0.0,0.0,False,0.0,4920
2025-07-06T01:00:00,midtown,40.7549,-73.984,24.4,24.7,0.0,10.7,0.0,0.0,False,0.0,4980
2025-07-06T02:00:00,midtown,40.7549,-73.984,23.4,23.9,0.0,10.9,0.0,0.0,False,0.0,5040
2025-07-06T03:00:00,midtown,40.7549,-73.984,22.6,23.1,0.0,10.6,0.0,0.0,False,0.0,5100
2025-07-06T04:00:00,midtown,40.7549,-73.984,22.0,22.8,0.0,9.9,0.0,0.0,False,0.0,5160
